Event,Date,Status,Tickets Sold,Tickets Available
ROCKAWAY: Meditation at the Castle,"Nov 16, 2016 7:00 PM",Past,9,91
EAST VILLAGE: Meditation & Dhamma discussion with Bhante Suddhāso,"Nov 17, 2016 7:00 PM",Past,7,193
ROCKAWAY: Meditation at the Church,"Nov 18, 2016 7:00 PM",Past,3,97
VOLUNTEER PAINT DAY,"Nov 19, 2016 10:00 AM",Past,13,1987
ROCKAWAY: Sunday morning Meditation,"Nov 20, 2016 10:30 AM",Past,2,98
INWOOD: Meditate like a Buddha with Bhante Suddhaso,"Nov 20, 2016 3:00 PM",Past,8,192
BUSHWICK: Meditation & Dhamma Talk with Bhante Suddhāso,"Nov 22, 2016 7:00 PM",Past,7,93
ROCKAWAY: Meditation at the Castle,"Nov 23, 2016 7:00 PM",Past,3,97
ROCKAWAY: Meditation at the Church,"Nov 25, 2016 7:00 PM",Past,2,98
VOLUNTEER PAINT WEEKEND,"Nov 26, 2016 10:00 AM",Past,1,1999
ROCKAWAY: Sunday morning Meditation,"Nov 27, 2016 10:30 AM",Past,1,99
INWOOD: Meditate like a Buddha with Bhante Suddhaso,"Nov 27, 2016 3:00 PM",Past,52,148
BUSHWICK: Meditation & Dhamma Talk with Bhante Suddhāso,"Nov 29, 2016 7:00 PM",Past,2,98
ROCKAWAY: Meditation at the Castle,"Nov 30, 2016 7:00 PM",Past,7,93
EAST VILLAGE: Meditation & Dhamma discussion with Bhikkhu Bodhi,"Dec 1, 2016 7:00 PM",Past,23,177
OPEN HOUSE: A Weekend of Wellness,"Dec 3, 2016 10:00 AM",Past,101,1899
BUSHWICK: Meditation & Dhamma Talk with Bhante Suddhāso,"Dec 6, 2016 7:00 PM",Past,0,100
Subway Loving Kindness Meditation,"Dec 7, 2016 5:00 PM",Past,15,85
EAST VILLAGE: Meditation & Dhamma discussion with Bhante Suddhāso,"Dec 8, 2016 7:00 PM",Past,9,191
WEEKEND RETREAT: Dependent Origination,"Dec 9, 2016 8:00 PM",Past,25,1143
Weekly Meditation at the Rockaway Summer House,"Dec 12, 2016 7:00 PM",Past,1,1999
BUSHWICK: Meditation & Dhamma Talk with Bhante Suddhāso,"Dec 13, 2016 7:00 PM",Past,1,99
ROCKAWAY: Meditation at the Castle,"Dec 14, 2016 7:00 PM",Past,0,100
Subway Loving Kindness Meditation,"Dec 15, 2016 5:00 PM",Past,2,98
EAST VILLAGE: Meditation & Dhamma discussion with Bhante Suddhāso,"Dec 15, 2016 7:00 PM",Past,4,196
Weekly Meditation at the Rockaway Summer House,"Dec 19, 2016 7:00 PM",Past,1,1999
BUSHWICK: Meditation & Dhamma Talk with Bhante Suddhāso,"Dec 20, 2016 7:00 PM",Past,2,98
ROCKAWAY: Meditation at the Castle,"Dec 21, 2016 7:00 PM",Past,4,96
EAST VILLAGE: Zazen with Konin Melissa Cardenas,"Dec 22, 2016 7:00 PM",Past,4,196
Weekly Meditation at the Rockaway Summer House,"Dec 26, 2016 7:00 PM",Past,1,1999
WEEK-LONG RETREAT: New Year’s Eve,"Dec 26, 2016 8:00 PM",Past,35,1113
BUSHWICK: Meditation & Dhamma Talk with Ven. Tahn Pamutto,"Dec 27, 2016 7:00 PM",Past,2,98
ROCKAWAY: Meditation at the Castle,"Dec 28, 2016 7:00 PM",Past,2,98
EAST VILLAGE: Meditation & Dhamma discussion with Bhante Nanda,"Dec 29, 2016 7:00 PM",Past,10,190
Weekly Meditation at the Rockaway Summer House,"Jan 2, 2017 7:00 PM",Past,7,1993
BUSHWICK: Meditation & Dhamma Talk with Bhante Suddhāso,"Jan 3, 2017 7:00 PM",Past,3,97
EAST VILLAGE: Meditation & Dhamma discussion with Bhante Suddhāso,"Jan 5, 2017 7:00 PM",Past,4,196
5-DAY RETREAT: The Peaceful Revolution,"Jan 6, 2017 8:00 PM",Past,16,1384
Weekly Meditation at the Rockaway Summer House,"Jan 9, 2017 7:00 PM",Past,1,1999
BUSHWICK: Meditation & Dhamma Talk with Bhante Suddhāso,"Jan 10, 2017 7:00 PM",Past,4,96
EAST VILLAGE: Meditation & Dhamma discussion with Bhante Suddhāso,"Jan 12, 2017 7:00 PM",Past,3,197
3-DAY RETREAT: Spiritual Activism,"Jan 13, 2017 8:00 PM",Past,32,1368
Weekly Meditation at the Rockaway Summer House,"Jan 16, 2017 7:00 PM",Past,6,1994
BUSHWICK: Tuesday Meditation & Dhamma Talk with Bhante Suddhāso,Repeating Event,Past,0,100
EAST VILLAGE: Thursday Meditation & Dhamma discussion with Bhante Suddhāso,Repeating Event,Past,0,200
Sunday Morning Meditation Workshop,"Jan 22, 2017 9:00 AM",Past,6,1994
WEEKEND RETREAT: The One Who is Not Busy ,"Jan 27, 2017 8:00 PM",Past,32,1368
BUSHWICK: Meditation & Dhamma Talk with Bhante Saddhasara,"Jan 31, 2017 7:00 PM",Past,0,100
EAST VILLAGE: Meditation & Dhamma discussion with Jayasara Bhikkhu,"Feb 2, 2017 7:00 PM",Past,1,199
